customer,state,gender,customer lifetime value,income,monthly premium auto,policy type,vehicle class,total claim amount
RB50392,Washington,,0,0.0,1000.0,Personal Auto,Four-Door Car,2.704934
QZ44356,Arizona,F,69795359,0.0,94.0,Personal Auto,Four-Door Car,1131.464935
AI49188,Nevada,F,128874317,48767.0,108.0,Personal Auto,Two-Door Car,566.472247
WW63253,California,M,76458618,0.0,106.0,Corporate Auto,SUV,529.881344
GA49547,Washington,M,53630765,36357.0,68.0,Personal Auto,Four-Door Car,17.269323
OC83172,Oregon,F,82562978,62902.0,69.0,Personal Auto,Two-Door Car,159.383042
XZ87318,Oregon,F,53808986,55350.0,67.0,Corporate Auto,Four-Door Car,321.6
CF85061,Arizona,M,72161003,0.0,101.0,Corporate Auto,Four-Door Car,363.02968
DY87989,Oregon,M,241275040,14072.0,71.0,Corporate Auto,Four-Door Car,511.2
BQ94931,Oregon,F,73881781,28812.0,93.0,Special Auto,Four-Door Car,425.527834
SX51350,California,M,47389920,0.0,67.0,Personal Auto,Four-Door Car,482.4
VQ65197,California,,81971971,0.0,110.0,Personal Auto,SUV,528.0
DP39365,California,,87987970,77026.0,110.0,Corporate Auto,Four-Door Car,472.029737
SJ95423,Arizona,,88190189,99845.0,110.0,Corporate Auto,SUV,528.0
IL66569,California,,53844317,83689.0,70.0,Corporate Auto,Four-Door Car,307.139132
BW63560,Oregon,,74631394,24599.0,64.0,Corporate Auto,Four-Door Car,42.920271
FV94802,Nevada,,25668678,25049.0,67.0,Personal Auto,Two-Door Car,454.245098
OE15005,Cali,,39452416,28855.0,101.0,Personal Auto,SUV,647.442031
WC83389,Oregon,,57103331,51148.0,72.0,Personal Auto,Four-Door Car,308.981664
FL50705,California,,81626171,66140.0,101.0,Corporate Auto,Four-Door Car,484.8
ZK25313,Oregon,,28720513,57749.0,74.0,Personal Auto,Two-Door Car,355.2
QK46697,Washington,M,61771093,61040.0,79.0,Personal Auto,Two-Door Car,20.382876
YH23384,Arizona,,241275040,14072.0,71.0,Personal Auto,Four-Door Car,511.2
TZ98966,Nevada,,24501910,0.0,73.0,Corporate Auto,Four-Door Car,554.376763
HM55802,California,,23921079,17870.0,61.0,Corporate Auto,Four-Door Car,439.2
FS42516,Oregon,,58020660,97541.0,72.0,Personal Auto,Four-Door Car,389.185006
US89481,California,,39463721,0.0,111.0,Personal Auto,Four-Door Car,799.2
HS14476,Washington,M,91620632,29723.0,80.0,Personal Auto,Four-Door Car,20.985105
GE62437,AZ,,129025601,86584.0,111.0,Personal Auto,Four-Door Car,532.8
EJ77678,Oregon,,32353605,75690.0,80.0,Personal Auto,Four-Door Car,384.0
SV85652,Arizona,,24545835,23158.0,63.0,Personal Auto,Four-Door Car,322.294043
UL64533,Nevada,,189754561,65999.0,237.0,Corporate Auto,Luxury SUV,615.927769
PF41800,California,,47153213,0.0,65.0,Personal Auto,Four-Door Car,308.15089
HD95276,Washington,F,47378717,0.0,130.0,Personal Auto,SUV,23.820158
SK67821,Oregon,,49329163,37260.0,62.0,Corporate Auto,Four-Door Car,15.437681
YV55495,Arizona,,57442297,68987.0,71.0,Personal Auto,Four-Door Car,204.475147
KY38074,California,,138917357,42305.0,117.0,Personal Auto,Four-Door Car,561.6
DM79012,Oregon,,73809767,65706.0,91.0,Personal Auto,Four-Door Car,436.8
CM61827,Oregon,,30900340,0.0,90.0,Personal Auto,Two-Door Car,648.0
WC35801,Arizona,,25216331,53243.0,66.0,Personal Auto,Four-Door Car,157.397849
QG25316,Nevada,,26520618,0.0,70.0,Corporate Auto,Two-Door Car,484.318536
MB98372,Oregon,,27710450,50071.0,71.0,Corporate Auto,Two-Door Car,18.918935
IL19217,California,,39390064,60021.0,99.0,Personal Auto,Four-Door Car,882.871945
SR38658,Arizona,,122318797,43244.0,103.0,Personal Auto,Sports Car,494.4
YD87931,Washington,M,49516561,46896.0,35354.0,Personal Auto,Four-Door Car,31.707317
HG65722,Oregon,,128191029,10105.0,172.0,Personal Auto,SUV,0.517753
BU27331,Arizona,,44685105,0.0,73.0,Personal Auto,Four-Door Car,579.165954
XM45289,Oregon,,55143440,23218.0,71.0,Personal Auto,Two-Door Car,447.79344
KP34198,California,,33438753,0.0,92.0,Corporate Auto,Four-Door Car,529.624084
SH90947,Arizona,,22944789,0.0,62.0,Personal Auto,Four-Door Car,313.023175
WE95729,Oregon,,367074264,24804.0,104.0,Personal Auto,SUV,593.830288
PY51963,California,,334733495,33190.0,106.0,Corporate Auto,SUV,508.8
RB69909,Nevada,,79834317,36014.0,69.0,Special Auto,Four-Door Car,173.956072
NW21079,Washington,F,48793848,67163.0,61.0,Personal Auto,Two-Door Car,33.192803
FR46645,California,,42939973,16701.0,113.0,Personal Auto,Four-Door Car,831.625979
SY17488,Arizona,,71643955,46623.0,91.0,Corporate Auto,Four-Door Car,436.8
AP67935,California,,76195158,64749.0,64.0,Special Auto,Four-Door Car,302.56519
FS37417,Arizona,,39580028,0.0,101.0,Personal Auto,SUV,484.8
ML29312,Oregon,,44994933,16969.0,124.0,Personal Auto,SUV,704.768111
UB61619,Oregon,,40595674,11621.0,108.0,Personal Auto,Four-Door Car,518.4
CD86811,Arizona,,44581134,17622.0,65.0,Personal Auto,Four-Door Car,312.0
RU83859,California,,81103331,11489.0,105.0,Personal Auto,Two-Door Car,504.0
FG63582,Oregon,,33397649,0.0,94.0,Personal Auto,Two-Door Car,863.327324
NN71951,California,,242610177,66525.0,100.0,Personal Auto,SUV,104.331355
WB37082,Arizona,,66139737,0.0,63.0,Personal Auto,Four-Door Car,676.391482
SM52139,WA,,29306934,33663.0,73.0,Personal Auto,Four-Door Car,350.4
FL82372,Oregon,,86721943,22547.0,112.0,Corporate Auto,SUV,537.6
DP45816,AZ,,116386693,61486.0,97.0,Personal Auto,Two-Door Car,465.258644
GW33762,Oregon,,68461503,0.0,95.0,Personal Auto,Two-Door Car,456.0
RZ33670,California,,117277764,29879.0,102.0,Personal Auto,Four-Door Car,500.254235
PY70169,Oregon,,226438348,93011.0,113.0,Personal Auto,SUV,281.451042
MO91628,Oregon,,26144743,65186.0,65.0,Personal Auto,Two-Door Car,5.434505
HW87852,Oregon,,24517527,26840.0,64.0,Personal Auto,Four-Door Car,307.2
HB20453,Oregon,,67812702,0.0,104.0,Personal Auto,Sports Car,982.399613
BN87372,Oregon,,49748015,75644.0,65.0,Personal Auto,Two-Door Car,467.803638
YX23800,Oregon,,85916049,38984.0,73.0,Personal Auto,Four-Door Car,350.4
